PWSSWGT,age,sex,education,marital_status,race,state_fips,metro_status,cbsa_code,labor_force_status_major,industry_major_recode,PRMJOCC1,hourly_earnings,use_laptop,use_desktop,use_tablet,use_smartphone,internet_at_home,internet_at_work,internet_at_school,internet_at_cafe,internet_while_traveling,HXINLICO,internet_elsewhere_home,internet_other_places,is_random_respondent,internet_usage_count,internet_user
8370249,31,2,40,6,1,30,1,0,2,11,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
6968847,42,1,44,1,1,30,2,0,1,9,4,-1,1,1,1,1,1,1,1,1,1,1,1,1,20,8,1
5800935,35,2,39,1,1,30,2,0,7,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
8333752,41,1,40,3,1,30,2,0,2,1,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
7637729,25,1,39,5,1,30,2,0,2,3,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
7637729,25,1,39,6,1,30,2,0,1,3,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
5743024,51,1,43,1,1,30,2,0,1,5,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
7080834,33,2,39,6,1,30,2,0,6,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
5943357,37,2,39,1,1,30,2,0,7,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
7273423,39,1,39,1,1,30,2,0,1,5,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
5943357,36,2,43,1,1,30,2,0,7,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
5537608,51,2,43,1,1,30,2,0,1,10,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
5528941,52,1,43,1,1,30,2,0,1,13,8,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
7379964,36,2,44,1,1,30,2,0,1,6,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
6510558,51,1,43,1,1,30,1,0,1,12,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
6013861,52,2,43,1,1,30,1,0,1,9,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
7103959,38,1,40,1,1,30,2,0,1,10,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
5804883,36,2,39,1,1,30,2,0,1,10,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
6259012,51,2,46,1,1,30,1,13740,1,10,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
7568054,44,1,39,6,1,30,1,13740,4,3,7,-1,0,0,0,0,0,-1,0,0,0,0,0,0,20,0,0
8797907,27,1,40,1,1,30,1,0,4,11,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
6094710,26,2,41,1,1,30,1,0,1,5,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
18849139,53,1,40,1,1,31,2,0,2,4,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
12102289,43,2,43,1,1,31,2,0,1,10,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
14969906,43,2,41,6,1,31,1,36540,2,11,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
18256416,50,2,43,1,1,31,2,0,1,10,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
15129470,29,1,39,1,1,31,2,0,1,1,6,-1,1,1,1,1,1,1,1,1,1,1,1,1,20,8,1
15652423,29,2,41,1,1,31,2,0,7,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
16237965,53,1,39,4,1,31,2,0,1,1,6,-1,1,1,1,1,1,1,1,1,1,1,1,1,20,8,1
15116053,36,1,39,1,1,31,1,36540,1,6,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
14691534,38,2,42,1,1,31,1,36540,1,10,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
18050433,54,2,40,1,1,31,1,36540,1,8,5,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
13665280,51,2,44,1,1,31,1,36540,2,10,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,20,8,1
11928332,54,1,44,1,1,31,1,36540,1,6,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
12290512,37,2,42,6,1,31,2,0,1,10,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,20,8,1
12258687,37,2,44,1,1,31,1,0,1,10,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
18906789,37,1,43,1,1,31,1,0,1,3,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
12031846,30,2,41,2,1,31,2,0,1,10,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
17405436,31,1,43,2,1,31,2,0,1,5,9,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
27501639,48,2,40,1,2,32,1,29820,7,-1,-1,-1,0,0,0,0,1,1,1,1,1,1,1,1,-1,8,1
21734834,46,1,44,1,2,32,1,29820,1,9,2,-1,0,0,0,0,1,1,1,1,1,1,1,1,-1,8,1
33420553,32,2,39,6,2,32,1,29820,1,5,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
20065196,39,2,40,1,1,32,1,29820,7,-1,-1,-1,0,0,0,0,1,1,1,1,1,1,1,1,-1,8,1
20532614,40,1,39,1,1,32,1,29820,1,9,1,-1,0,0,0,0,1,1,1,1,1,1,1,1,-1,8,1
21896368,26,1,43,6,1,32,1,29820,7,-1,-1,-1,0,0,0,0,1,-1,1,1,1,1,1,1,-1,7,1
21896368,27,1,43,6,1,32,1,29820,7,-1,-1,-1,0,0,0,0,1,-1,1,1,1,1,1,1,-1,7,1
20527016,38,1,43,1,1,32,1,29820,1,9,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
19691593,37,2,40,1,1,32,1,29820,1,5,4,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
33350132,34,2,39,6,2,32,1,29820,1,6,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
27364312,38,2,39,6,1,32,1,29820,6,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
21268403,38,1,40,1,1,32,1,0,1,4,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
20402806,38,2,40,1,1,32,1,0,1,8,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
23937153,34,2,39,5,1,32,1,0,1,5,4,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
10717430,50,1,43,1,1,35,1,10740,1,8,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
14101712,38,2,43,1,1,35,1,10740,1,9,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
12525329,39,1,39,6,1,35,1,10740,6,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
9243162,49,2,38,6,1,35,1,10740,6,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
22970879,26,2,39,6,14,35,1,10740,1,9,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
16245075,54,1,35,1,1,35,1,10740,1,5,10,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
11970221,31,2,40,6,1,35,1,10740,1,10,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
